Sumpfschnepfe	Bekassine
Flaschner	Klempner
Flaus	Fries
Fleurist	Florist
Flittergras	Zittergras
Florentiner Arbeit	Mosaik
Florilegium	Anthologie
Flötz	Flöz
Flugsommer	Altweibersommer
Föderation	Konföderation
Föhrde	Fjord
Föhre	Kiefer
Förde	Fjord
Forle	Kiefer
Formylsäure	Ameisensäure
Franche	Franse
Frankatur	Frankierung
Freia	Freyja
Frosch	Daumen
Fulgurit	Blitzröhre
Fund	Fonds
Fundlohn	Finderlohn
Fürsprech	Rechtsanwalt
Fylfot	Hakenkreuz
Gabelton	Kammerton
Gabler	Gabelweihe
Gadhelisch	Gälisch
Gaelisch	Gälisch
Galvanolyse	Elektrolyse
Garotte	Garrotte
Gastrologie	Gastronomie
Geding	Vertrag
Gefäßgeschwulst	Angiom
Gegenklage	Widerklage
Geigenharz	Kolophonium
Gelehrtenschule	Gymnasium
Generalfeldwachtmeister	Generalmajor
Generation	Zeugung
Generator	Dynamomaschine
Geschoßbahn	Flugbahn
Gesichtswinkel	Sehwinkel
Gewerbegenossenschaft	Innung
Gewerk	Handwerk
Gique	Gigue
Giro	Indossament
Glasschwärmer	Glasflügler
Glättmaschine	Kalander
Glorie	Heiligenschein
Goldbarsch	Kaulbarsch
Goldschaum	Blattgold
Goldstoff	Brokat
Gotenburg	Göteborg
Gothenburg	Göteborg
Grad	Burg
Gradstock	Jakobsstab
Grège	Rohseide
Grezseide	Rohseide
Griechische Liebe	Päderastie
Grundbesitz	Grundeigentum
Grundgesetz	Verfassungsurkunde
Grundstock	Jakobsstab
Grusonmetall	Hartguß
Guerre	Pseudonym
Gummilack	Schellack
Gunny	Jute
Güterpfleger	Konkursverwalter
Gütertrennung	Verwaltungsgemeinschaft
Haarzange	Pinzette
Hafner	Töpfer
Hagel	Kartätsche
Hagion Oros	Athos
Halbbürtige Geschwister	Halbgeschwister
Halbkasten	Eurasier
Halbmeister	Abdecker
Hämmling	Kastrat
Handelsflotte	Handelsmarine
Handelsgremium	Handelskammer
Handschrift	Graphologie
Hantieren	Handel
Häresie	Ketzerei
Hauptbaß	Generalbaß
Hegumenos	Abt
Heidekorn	Buchweizen
Heiliges Bein	Kreuzbein
Heimbürge	Gemeindevorsteher
Heiratswappen	Allianzwappen
Heister	Elster
Hellas	Mittelgriechenland
Helmbarte	Hellebarde
Herbstfäden	Altweibersommer
Hermes	Schwärmer
Heroisch	Hexameter
Himeros	Eros
Hinterlegung	Deposition
Hirtenstab	Bischofsstab
Histiologie	Histologie
Hochton	Akzent
Hofmeister	Hauslehrer
Höfte	Buhne
Hohe Schule	Universität
Honigwein	Met
Horribilicribrifax	Maulheld
Hortus siccus	Herbarium
Humbug	Schwindel
Hurrikan	Orkan
Hydrostatische Wage	Aräometer
Hypérbel	Übertreibung
Ideador	Kaleidoskop
Imker	Bienenzüchter
Imperator	Kaiser
Indian grass	Jute
Indúlt	Moratorium
Indúlt	Messe
Industriéll	Fabrikant
Inn	Amtsgebäude
Innung	Zunft
Inskribieren	immatrikulieren
Inskription	Immatrikulation
Intermediär	Intermezzo
Internationales Recht	Völkerrecht
Interzession	Bürgschaft
Jagdhorn	Waldhorn
Jagen	Abteilung
Jargon	Kauderwelsch
Jean Potage	Hanswurst
Jig	Gigue
Joint-Stock-Company	Aktiengesellschaft
Kabbes	Weißkohl
Kabine	Kajüte
Kaff	Spreu
Kahnfüßer	Grabfüßer
Kalkuttahanf	Jute
Kombüse	Kombüse
Kammwalze	Igel
Kanapee	Sofa
Kandelgießer	Zinngießer
Kapillargefäßgeschwulst	Angiom
Kaprice	Capriccio
Kapudschi	Kammerherr
Kardätsche	Karde
Kargo	Schiffsmakler
Kartéll	Vertrag
Käsekohl	Blumenkohl
Käser	Senner
Kavatine	Arie
Kazike	Indianerhäuptling
Kehlschnitt	Tracheotomie
Keimling	Embryo
Kettenhemd	Kettenpanzer
Kimmung	Luftspiegelung
Kinäde	Päderast
Kinnbacken	Kiefer
Kirchendisziplin	Kirchenzucht
Kirchenrat	Kirchenvorstand
Kitschbaum	Traubenkirsche
Klausner	Einsiedler
Klerisei	Klerus
Knagge	Daumen
Kog	Polder
Kollektivglas	Sammellinse
Kommentar	Erklärung
Konjugation	Kopulation
Konkavspiegel	Hohlspiegel
Konkussion	Erpressung
Konsolidation	Arrondierung
Konstabel	Polizist
Kontumaz	Quarantäne
Konvént	Nationalkonvent
Koog	Polder
Kopula	Koppel
Korn	Feingehalt
Korporal	Unteroffizier
Korrespondénz	Postkarte
Kostbeere	Johannisbeere
Köter	Hund
Kotkäfer	Mistkäfer
Kraftverteilung	Kraftübertragung
Kraftwagen	Automobil
Kranich	Kran
Krankengymnastik	Heilgymnastik
Kratze	Karde
Kreide	Rötel
Krethi und Plethi	Gesindel
Kribbe	Buhne
Krinoline	Reifrock
Krümelzucker	Traubenzucker
Kuhkohl	Braunkohl
Kuhschelle	Küchenschelle
Kulloche	Kohlrübe
Kupferwasser	Eisenvitriol
Kurierzug	Schnellzug
Kurtisan	Hanswurst
Kutteln	Schlachthaus
Laboratorium	Alchimist
Lack	Goldlack
Lady	Frau
Lai	Lied
Laien	Weltpriester
Lakkiotikos	Acheron
Lambrequin	Helmdecke
Landboten	Landtagsabgeordnete
Landeshauptmann	Landesdirektor
Landschaft	Landstände
Lardit	Agalmatolith
Laufender Kurs	Tageskurs
Laufender Kurs	Kontokorrent
Laufhund	Bracke
Lavaglas	Obsidian
League	Liga
Leberblende	Schalenblende
Lebkuchen	Pfefferkuchen
Leichenöffnung	Obduktion
Leitsonde	Katheter
Leuchtende Farbe	Leuchtfarbe
Leudes	Hörige
Libation	Gelage
Libertin	Freigeist
Likorne	Einhorn
Lindwurm	Drache
Liwa	Brigadegeneral
Logenbruder	Freimaurer
Long Primer	Korpus
Lorbeerkirsche	Kirschlorbeer
Lore	Lori
Louis	Zuhälter
Luftdruckmaschine	Kompressor
Luftdruckpumpe	Kompressor
Luggerbank	Doggerbank
Lüster	Kronleuchter
Lydischer Stein	Lydit
Maat	Genosse
Mabeïn-Humajûn	Oberhofmarschall
Mac	Sohn
Mädchensommer	Altweibersommer
Maggiore	Dur
Magnoferrit	Roteisenerz
Maja	Schein
Makkaroni	Dummkopf
Mancipatio	Leibeigener
Mandelöl	Bittermandelöl
Mandrin	Katheter
Manendienst	Ahnenverehrung
Manua	Tau
Marabut	Derwisch
Mariengold	Glimmer
Markbrief	Kaperbrief
Massekurator	Konkursverwalter
Masseverwalter	Konkursverwalter
Massonei	Freimaurerei
Materie	Eiter
Matrosen	Gefreiter
Mauren	Araber
Mauvais sujet	Taugenichts
Mechanische Philosophie	Atomistik
Medîna	Stadt
Meisterlauge	Kalilauge
Mentor	Erzieher
Mesoblást	Mesoderm
Metagnostik	Metaphysik
Metretes	Amphora
Mezzanin	Halbgeschoß
Milchblattern	Kuhpocken
Militärpflicht	Wehrpflicht
Milo	Melos
Milos	Melos
Mimen	Schauspieler
Mimodrama	Pantomime
Minne	Liebe
Mister	Master
Mitraille	Maschinengewehr
Mlle	Mademoiselle
Mme	Madame
Mobilmiliz	Landwehr
Mogul	Großmogul
Mohr	Neger
Molybdänblei	Gelbbleierz
Monasterium	Münster
Moneta	Münzstätte
Monokratie	Monarchie
Monumént	Denkmal
Moral	Ethik
Mortifizieren	Amortisation
Most	Zider
Motion	Antrag
Mtama	Sorghum
Muchtar	Ortsvorsteher
Mückenfänger	Fliegenschnäpper
Mudir	Verwalter
Multum	Molton
Muskelblatt	Mesoderm
Myriomorphoskop	Kaleidoskop
Mystagog	Geheimniskrämer
Näherung	Approximation
Nahl	Narwal
Narde	Lavendel
Nationale	Kokarde
Natronglimmer	Paragonit
Navikular	Kahnbein
Negro	Neger
Neißer Schneeberg	Altvater
Neoplatonismus	Neuplatonismus
Nesseltuch	Musselin
Netto	Reinertrag
Névé	Firn
Nigritien	Neger
Nihilum album	Zinkoxyd
Nobiles	Adliger
Notiometer	Hygrometer
Novodo	Nauru
Nutznießung	Nießbrauch
O	Sohn
Oberkanonier	Obergefreiter
Obstzucker	Fruchtzucker
Offene Rechnung	Kontokorrent
Officium	Brevier
Ökonom	Nationalökonomie
Om	Amen
On dit	Gerücht
Ophiolith	Gabbro
Ostelbier	Agrarier
Ostensorium	Monstranz
Otter	Fischotter
Ovation	Huldigung
Owaihi	Hawaii
Oxytoluol	Kresol
P	Brief
Padovana	Pavane
Paduane	Pavane
Pahuins	Fan
Pakowolle	Alpakawolle
Paläologie	Paläontologie
Paläontographie	Paläontologie
Papier	Brief
Pappelstein	Malachit
Paralogie	Sophistik
Parastichon	Akrostichon
Parität	Simultanschule
Parksin	Zelluloid
Parlier	Polier
Partikulier	Privatier
Partite	Suite
Partout	Passepartout
Paschmina	Kaschmirwolle
Passe	Ausfall
Patelin	Schleicher
Pater peccavi	Schuldbekenntnis
Patres	Senat
Paulit	Hypersthen
Pegmatolith	Orthoklas
Peinliche Befragung	Strafgerichtsbarkeit
Peinliche Befragung	Strafprozeß
Peinliche Befragung	Strafrecht
Peljuinseln	Palauinseln
Pelz	Vlies
Pennal	Gymnasiast
Pentangulum	Pentagon
Pentangulum	Pentagramm
Peterlein	Petersilie
Pewter	Hartmetall
Pfandschilling	Pfandgeld
Pfarrkirche	Parochialkirche
Pfechten	eichen
Pfeifer	Spielleute
Pfleger	Vormund
Phantasie	delirieren
Pharo	Pharao
Pharus	Leuchtturm
Photographiedruck	Lichtdruck
Photohyalographie	Lichtdruck
Physikus	Arzt
Phytopergament	Pergamentpapier
Piano	Pianoforte
Pickelhering	Hanswurst
Pickling	Bückling
Pier	Mole
Pinakothek	Gemäldesammlung
Pisolith	Erbsenstein
Piva	Dudelsack
Plagium	Plagiat
Planisphärium	Astrolabium
Plaque	Furnier
Plasma	Protoplasma
Plástik	Bildhauerkunst
Plattdeutsch	Niederdeutsch
Plattlack	Schellack
Plebanus	Pfarrer
Plebs	Proletarier
Plockflöte	Blockflöte
Pneumatik	Aeromechanik
Podestà	Bürgermeister
Poësie	Dichtkunst
Pökling	Bückling
Polack	Pole
Politiker	Schlaukopf
Politische Ökonomie	Volkswirtschaftslehre
Politur	Politesse
Polize	Police
Polk	Regiment
Polychrom	Pyromorphit
Polymeter	Tachymeter
Pomesine	Apfelsine
Pönalkodex	Strafgesetzbuch
Porphyr	Melaphyr
Porsch	Porst
Porzellanton	Kaolin
Postgeheimnis	Briefgeheimnis
Potemkin	Blendwerk
Potpourri	Quodlibet
Pracher	Bettler
Prädikánt	Dominikaner
Präservation	Konservierung
Präzipitantia	Fällung
Priesterstand	Klerus
Privatgerichtsbarkeit	Patrimonialgerichtsbarkeit
Probe	Feingehalt
Procureur général	Generalprokurator
Promemoria	Memorial
Protagon	Lezithin
Prunkbock	Springbock
Psalter	Blättermagen
Psammit	Sandstein
Psychagogos	Totenbeschwörer
Psychomantie	Nekromantie
Punischer Apfel	Granatapfel
Puter	Truthuhn
Q	Quadrat
Quadersandsteinformation	Kreideformation
Quasi	Schein
Quaternär	Quartär
Quichua	Quechua
Quick	Quecksilber
Quincaillerie	Kurzwaren
Rack	Arrak
Rasenmeister	Abdecker
Rauhkalk	Rauchwacke
Rauhwacke	Rauchwacke
Reader	Lektor
Realobligation	Pfandbrief
Realservitut	Grunddienstbarkeit
Realwörterbuch	Enzyklopädie
Rear-admiral	Konteradmiral
Rebbes	Gewinn
Redoute	Maskenball
Referendar	Gerichtsassessor
Reflektieren	Spiegelteleskop
Regenwolke	Nimbus
Reinbau	Rohbau
Reißblei	Graphit
Religionswissenschaft	Theologie
Rengagement	Kapitulation
Rezdechaussee	Feuilleton
Rheometer	Galvanometer
Rhodiserholz	Rosenholz
Riedhuhn	Auerhuhn
Riesengranit	Pegmatit
Riet	Kamm
Ring	Kartell
Ringhemd	Kettenpanzer
Rodden	Aland
Rohrwerk	Zungenregister
Rollenzug	Flaschenzug
Rondel	Rondeau
Rose	Fensterrose
Roßkamm	Pferdehändler
Rotation	Fruchtfolge
Rothäute	Indianer
Rotkarpfen	Rotfeder
Rotkopf	Bluthänfling
Rotwild	Edelhirsch
Rübenreps	Rübsen
Rückenwirbel	Brustwirbel
Rückgrat	Wirbelsäule
Ruderfüßler	Ruderfüßer
Rufene	Bergsturz
Rüfi	Bergsturz
Ruppe	Aalraupe
Sabinerbaum	Sadebaum
Sagebaum	Sadebaum
Sägedach	Sheddach
Saikio	Kioto
Sakramentalen	Eideshelfer
Sakramentstag	Fronleichnamsfest
Säkularabt	Abbé
Salem	Jerusalem
Salfisch	Seeforelle
Samendrüsen	Hoden
Samenfluß	Pollution
Sammelspiegel	Hohlspiegel
Samstag	Sonnabend
San Bartolomeo de Honda	Honda
Sandblasapparat	Sandstrahlgebläse
Sandfisch	Sandaal
Sandgebläse	Sandstrahlgebläse
Sanitarium	Sanatorium
Santelholz	Sandelholz
Santen	Xanten
Santo Domingo	Haiti
Saugkiesel	Polierschiefer
Säule	Prisma
Schächer	Räuber
Schachmatt	Matt
Schäffler	Böttcher
Schäften	Kopulation
Schalenguß	Hartguß
Schalk	Knecht
Schallboden	Resonanzboden
Schanzkleid	Reling
Scheelium	Wolfram
Scheidung	Aufbereitung
Scheikh	Scheich
Schelam	Salem
Schema	Rangliste
Schichtwolke	Stratus
Schieferspat	Kalkspat
Schiertuch	Segeltuch
Schießwolle	Schießbaumwolle
Schillerquarz	Katzenauge
Schintoismus	Shintoismus
Schlägel	Fäustel
Schlagstock	Amboß
Schlängern	Schlingern
Schleiche	Blindschleiche
Schleimzucker	Fruchtzucker
Schleudermaschine	Zentrifuge
Schliefer	Klippschliefer
Schmelz	Email
Schmelzglas	Email
Schmerstein	Speckstein
Schmiedemaschine	Schmiedepresse
Schmiedesinter	Hammerschlag
Schmiere	Wache
Schnake	Ringelnatter
Schnecke	Volute
Schneeberg	Altvater
Schneerose	Alpenrose
Schout	Konteradmiral
Schränker	Einbrecher
Schreibblei	Graphit
Schrein	Tischler
Schrotbüchse	Kartätsche
Schuldbrief	Schuldschein
Schuner	Schoner
Schuster	Weberknecht
Schutzblattern	Kuhpocken
Schützen	Jäger
Schwarzer Porphyr	Melaphyr
Schweizer	Türhüter
Schwere	Gravitation
Schwererde	Schwerspat
Schwertleite	Ritterschlag
Schwimmwage	Aräometer
Seebataillon	Marineinfanterie
Seelenkult	Ahnenverehrung
Seerabe	Kormoran
Sekt	Champagner
Selbstzünder	Selbstentzündung
Separation	Absonderung
Seraphische Brüder	Franziskaner
Serechule	Mandingo
Sergeant	Feldwebel
Servelatwurst	Zervelatwurst
Sevenbaum	Sadebaum
Siberit	Rubellit
Sibirit	Rubellit
Sicherheitsleistung	Kaution
Siderit	Eisenspat
Silberstoff	Brokat
Silbertripel	Polierschiefer
Similigravüre	Autotypie
Sinngedicht	Epigramm
Sinteropal	Kieselsinter
Sismograph	Seismometer
Skarifikation	Grubber
Skio	Chios
Slagebrücke	Zugbrücke
Smarágd	Dioptas
Société anonyme	Aktiengesellschaft
Sodium	Natrium
Solomoninseln	Salomoninseln
Somersinseln	Bermudainseln
Sommerfäden	Altweibersommer
Sommerflug	Altweibersommer
Sonnenspiegel	Heliotrop
Sopka	Vulkan
Soter	Erlöser
Spagat	Bindfaden
Spagyrie	Alchimie
Spalthufer	Wiederkäuer
Spängler	Klempner
Spangrün	Grünspan
Spannkraft	Spannung
Speer	Lanze
Spelter	Zink
Spengler	Klempner
Sperberfalk	Hühnerhabicht
Sperrhaken	Dietrich
Sphärolithfels	Perlit
Spickdamm	Buhne
Spieß	Lanze
Spiritualismus	Spiritismus
Spitzsäule	Obelisk
Spodium	Knochenkohle
Sprachreinigung	Purismus
Springkäfer	Schnellkäfer
Sprinz	Sperber
Staatsverbrechen	Majestätsverbrechen
Staatsverrat	Landesverrat
Stadtgraf	Burggraf
Stahlstein	Eisenspat
Stake	Buhne
Stände	Landstände
Ständeversammlung	Landtag
Standia	Dia
Stange	Spieß
Stangenschörl	Turmalin
Starke	Färse
Stecher	Stichling
Steeplechase	Hindernisrennen
Stegreif	Steigbügel
Steinbeißer	Kernbeißer
Steinschmerle	Steinbeißer
Steintische	Dolmen
Steppenkuh	Säbelantilope
Stil	Zeitrechnung
Stiller Freitag	Karfreitag
Stoffmühle	Holländer
Stout	Porter
Strafmandat	Strafbefehl
Stralzio	Liquidation
Strandroggen	Strandhafer
Strang	Strähne
Strazze	Lumpen
Stückarbeit	Akkordarbeit
Stuhl	Thron
Stundenglas	Sanduhr
Sturmbrücke	Fallbrücke
Subjekt	Person
Sukzinit	Bernstein
Supplént	Hilfslehrer
Süßwasserkalk	Kalktuff
Svastika	Hakenkreuz
Swell	Stutzer
Syndikat	Kartell
Synode	Konzil
Szene	Landschaftsbild
Tabûr	Bataillon
Tachygraph	Stenographie
Talkerde	Magnesia
Talkspat	Magnesit
Tananarivo	Antananarivo
Tattersall	Reitbahn
Taubahn	Kabelbahn
Teerpappe	Dachpappe
Tempel	Gotteshaus
Teufelskralle	Rapunzel
Thebais	Oberägypten
Tier	Alttier
Tigerpferd	Zebra
Tikholz	Teakholz
Tintenstift	Kopierstift
Tironische	Stenographie
Torkel	Kelter
Transportation	Deportation
Trapporphyr	Melaphyr
Traube	Weintraube
Traubenbirne	Felsenbirne
Traubenvitriol	Eisenvitriol
Triebwerk	Transmission
Tripel	Kieselgur
Trippel	Kieselgur
Trommelreuse	Bunge
Trompete	Seenadel
Truppenlehre	Taktik
Trysegel	Gaffelsegel
Tschernagóra	Montenegriner
Tückebote	Irrlicht
Tuda	Toda
Tuffkalk	Kalktuff
Türkische Musik	Janitscharenmusik
Umschlag	Fehlgeburt
Universalelixier	Lebenselixier
Unschlitt	Talg
Untersuchungsprozeß	Inquisitionsprozeß
Urban	Hasel
Veloziped	Fahrrad
Veltenstanz	Epilepsie
Velveret	Manchester
Verbinder	Receiver
Verbum	Zeitwort
Verdauungsferment	Pepsin
Vergrößerungsglas	Lupe
Vergrößerungsspiegel	Hohlspiegel
Vergütungsbetrag	Konventionalstrafe
Verismus	Naturalismus
Verlassenschaft	Nachlaß
Versatzamt	Leihhaus
Verschleifung	Auflösung
Verschnittener	Kastrat
Vertragsstrafe	Konventionalstrafe
Verwaltung	Staatsverwaltung
Viadukt	Talbrücke
Vierseit	Viereck
Vinzentiner	Prämonstratenser
Viola	Bratsche
Visa	Visum
Visconte	Vicomte
Vizconde	Vicomte
Vollkugel	Vollgeschoß
Vollziehungsbeamter	Vollstreckungsbeamter
Vorgeschichte	Urgeschichte
Vorschuß	Darlehn
Votivtafel	Gedenktafel
Wachtelente	Krickente
Wagner	Stellmacher
Waldmensch	Orang-Utan
Walzenmühle	Walzenstuhl
Walzenpresse	Kalander
Weberblatt	Kamm
Wehrwolf	Werwolf
Weibersommer	Altweibersommer
Weißguß	Hartmetall
Weißmetall	Hartmetall
Welschkohl	Wirsing
Wenzel	Bube
Wetterkunde	Meteorologie
Wetterlosung	Wetterführung
Widewal	Pirol
Wigbold	Marktflecken
Wiluit	Vesuvian
Windmesser	Anemometer
Winzer	Weinbauer
Witiarchipel	Fidschiinseln
Wolkenkuckucksheim	Luftschloß
Wollblumen	Wundklee
Xereswein	Sherry
Yaúnde	Jaunde
Yuga	Weltalter
Zahlungsmandat	Zahlungsbefehl
Zalat	Rapfen
Zarzuela	Spieloper
Zaunriegel	Hartriegel
Zeichenschutz	Markenschutz
Zeitkauf	Kauf
Zenana	Frau
Zensur	Kirchenstrafe
Zensus	Volkszählung
Zeremonial	Zeremoniell
Zeug	Bierhefe
Zielkauf	Kauf
Zimentieren	eichen
Zinken	Stadtpfeifer
Zinsreduktion	Konversion
Zinsschein	Coupon
Zirkulationsorgane	Gefäßsystem
Zollbegleitschein	Begleitschein
Zugbock	Springbock
Zusammenlegung	Arrondierung
Zustandsvormundschaft	Kuratel
Zweikorn	Emmer
Zwetschengeist	Sliwowitz
Zwieback	Biskuit
Zwinglianer	Reformierte
Zwischengeschoß	Halbgeschoß
Zwischenhandel	Transithandel
Zwitter	Zinnerz
