Aalmutter	Seefisch
Heckenschmätzer	Dorngrasmücke
Hederich	Ackerrettich
Heer der Seligmacher	Heilsarmee
Heervogel	Wiedehopf
Hegau	Rhein
Hegesíppus	Kirchenschriftsteller
Hehlerei	Begünstigung
Heiligenberg	Schloß
Heiligendamm	Seebad
Heiliger-Geist-Orden	Orden
Heiter	Pseudonym
Hekate	Göttin
Helche	Gemahlin
Heldburg	Freifrau
Helioplástik	Herstellung
Heliotherapie	Behandlung
Hellbrunn	Schloß
Hellweg	Nordabhang
Hengist	Anführer
Hephästion	Liebling
Herausforderung	Aufforderung
Herbstlachs	Seeforelle
Herne Bay	Seebad
Hero	Priesterin
Hero	Mathematiker
Heroon	Heiligtum
Luce Herpin	Pseudonym
Herrenhausen	Lustschloß
Herzeloyde	Mutter
Hesperien	Römer
Heterokliton	Substantiv
Heubude	Seebad
Hexaeder	Kristallform
Hexapla	Bibelwerk
Hexentanzplatz	Felswand
Hiawatha	Lehrer
Hienzen	Deutsche
Hiëro	Herrscher
Hiëromonachos	Mönch
Hiëronymus	Heilige
Hiëronymus	Gesinnungsgenosse
Hiëroskopie	Weissagung
High Tory	Aristokrat
Hilfen	Einwirkung
Hilfskreuzer	Schnelldampfer
Hilus	Einbuchtung
Himalajabär	Kragenbär
Himmelsgucker	Stachelflosser
Hinc illae lacrimae	Zitat
Hinkmar	Erzbischof
Hinterwäldler	Ansiedler
Hippárch	Befehlshaber
Hippárchus	Gründer
Hippias	Tyrann
Hiragana	Silbenschrift
Hirnblasenwurm	Drehwurm
Hirnquese	Drehwurm
Hirschhorn	Geweih
Hirtius	Legat
Hirudo	Blutegel
Hirundo	Schwalbe
Hissarlik	Anhöhe
Histiäus	Tyrann
Histrionen	Schauspieler
Hoáchanas	Militärposten
Hochmeister	Oberhaupt
Hoch- und Deutschmeister	Ordensmeister
Hodegetik	Anweisung
Hoffmann & Campe	Buchhandlung
Hofwyl	Landgut
Hohenau	Gräfin
Höhenmessung	Feststellung
Hohenrechberg	Schloßruine
Hoher Stauffen	Bergrücken
Hohkönigsburg	Ruine
Hohlzirkel	Zirkel
Hohneklippen	Felsengruppe
Holländer	Maschine
Höllenstein	Argentum
Holzkonservierung	Bewahrung
Holzmeise	Tannenmeise
Holzschnepfe	Waldschnepfe
Holzweberei	Verfertigung
Holzwürmer	Splint
Homagial	Huldigung
Homiletik	Anleitung
Honigbussard	Wespenbussard
Honorar	Vergütung
Honorieren	Honorar
Hont	Flußarm
Honter	Reformator
Hontheim	Weihbischof
Hopedale	Missionsstation
Horizontalpendel	Apparat
Horn	Pseudonym
Hornpipe	Musikinstrument
Hornschlange	Hornviper
Hornung	Februar
Horror	Scheu
Horuk	Herrscher
House of Commons	Unter
Houses of Convocation	Parlament
Hucbald	Musiker
Humaïtá	Festung
Humerale	Schultertuch
Humus	Pflanzen
Hungerkur	Entziehung
Huongolf	Meerbusen
Hyalotypie	Herstellung
Hydrioten	Bewohner
Hylas	Liebling
Hyméttus	Berggruppe
Hyperbasis	Versetzung
Hyperdakytlie	Auftreten
Hyphén	Zusammenziehung
Iakchos	Beiname
Iambus	Versfuß
Ibar	Nebenfluß
Idhun	Hüterin
Idrosee	Alpensee
Igls	Sommerfrische
Ignis et aquae interdictio	Untersagung
Ik Marvel	Pseudonym
Ikositetraeder	Kristallform
Iktinus	Erbauer
Imâmiten	Partei
Imbergans	Eistaucher
Impaß	Gasse
Impeachment	Anklage
Indent	Vertrag
Indianíst	Kenner
Indigen	Handelsname
Industrie	Industrie
Industriéll	Industrie
Inhibieren	Einhalt
Initiative	Einleitung
Injektion	Einspritzung
Inlett	Leinen
Innanke	Seeforelle
Innewache	Wache
Inquilin	Einwohner
Inster	Gekröse
Institut de France	Institut
Intarsienmalerei	Intarsia
Inter arma silent leges	Unter
Intermission	Aussetzen
Interpretation	Erklärung
Inthronisation	Erhebung
Inventarium	Verzeichnis
Involutionsperiode	Alter
Irazú	Vulkan
Iron	Pseudonym
Ironside	Beiname
Isafjord	Handelsplatz
Isenschnippe	Schloß
Istambol Efendisi	Efendi
Ith	Gebirgsrücken
Ituri	Nebenfluß
Iwángorod	Festung
Iztaccihuatl	Vulkan
Jacqueiraholz	Stammholz
Jakub Beg	Beherrscher
Jalu-kiang	Grenzfluß
Jamunder See	Strandsee
Jänner	Januar
Jaschmak	Schleier
Jauner	Ritter
Jaxt	Nebenfluß
Jeanne d'Arc	Jungfrau
Jeffreys	Lordkanzler
Jehu	Feldherr
Jenatsch	Schweizer
Jenner	Januar
Edward Jenner	Entdecker
Jerobeam	Beamter
Joab	Stiefschwester
Joch	Geschirr
Jodocus	Markgraf
Jopenbier	Danziger
J. U. D.	Doktor
Judex	Richter
Jugerum	Rechteck
Julirevolution	Revolution
Jungermannia	Lebermoos
Jungfrauen	Heilige
Jüngstenrecht	Bevorzugung
Jura	Rechte
Justitia	Göttin
Justitium	Stillstand
Jüten	Bewohner
Kabarda	Gebirgslandschaft
Kabbala	Geheimlehre
Kadétt	Zögling
Kadinen	Rittergut
Kadmos	Gründer
Kahnbein	Handwurzelknochen
Kahnschnabel	Vogel
Kaïn	Mörder
Kalade	Anhöhe
Kalásche	Tracht
Kalbeck	Publizist
Kälbermagen	Magen
Kalchas	Priester
Kalender	Einteilung
Kalender	Blättermagen
Kalewala	Nationalepos
Kalibermaßstab	Zirkel
Kallíppus	Urheber
Kallipygos	Beiname
Kallisthenes	Begleiter
Kalorimeter	Apparat
Kama	Nebenfluß
Kamaun	Division
Kamelopard	Giraffe
Kämmaschine	Maschine
Kammergericht	Appellationsgericht
Kammerjäger	Jäger
Kammlerche	Haubenlerche
Kamorondo	Nebenfluß
Kampf ums Dasein	Zitat
Kamtschatkisches Meer	Beringmeer
Kanaken	Bewohner
Kanara	Küstenlandschaft
Kanawha	Nebenfluß
Kandare	Zaumzeug
Kandioten	Bewohner
Kaníster	Blechkiste
Kanoníst	Kenner
Kanuri	Einwohner
Kapitän	Führer
Kaption	Fangen
Kapurthala	Vasallenstaat
Karbolwatte	Rizinusöl
Kardiograph	Apparat
Karer	Bewohner
Karrier	Kasse
Kartoffelwage	Apparat
Käsemagen	Labmagen
Kasperl	Person
Kastenfassung	Befestigung
Kat	Strauch
Katalog	Verzeichnis
Katholikos	Ehrentitel
Kaufmannsgericht	Sondergericht
Kehlkopf	Pförtner
Keiler	Schwarzwild
Kemény	Fürst
Keratoskop	Apparat
Kerze	Beleuchtungskörper
Khan	Fürstentitel
Khlesl	Kardinal
Kiachta	Handelsplatz
Kiefernraupe	Raupe
Kiel	Balken
Kieler Umschlag	Messe
Kieselschiefer	Kohlenstoff
Kilimatinde	Militärstation
Kiln	Schachtofen
Kinderehe	Vermählung
Kirchendiebstahl	Diebstahl
Kirchenjahr	Jahreszyklus
Kisaki	Militärstation
Kissaki	Militärstation
Kita	Militärstation
Kithara	Gitarre
Kitze	Junge
Klage	Geltendmachung
Klampenborg	Seebad
Klassizismus	Empirestil
Klein	Literarhistoriker
Kleingewerbe	Gewerbe
Klein-Popo	Handelsplatz
Kleinspecht	Buntspecht
Kleisthenes	Tyrann
Kleobulus	Tyrann
Klieben	Flußneunauge
Klimatographie	Beschreibung
Klinik	Unterricht
Klischee	Abguß
Kniebis	Bergsattel
Kniegeige	Gambe
Knights of Labor	Ritter
Knipperdollinck	Führer
Knivsberg	Erhebung
Knochenfische	Unterklasse
Knox	Reformator
Koberger	Buchdrucker
Kobsa	Spieler
Kohärer	Apparat
Kohinur	Diamant
Kohlamsel	Schwarzdrossel
Koinobion	Kloster
Koïpu	Sumpfbiber
Kokytos	Nebenfluß
Kolarier	Urbewohner
Kölberlstahl	Rohstahl
Kollegiatkirche	Pfarrkirche
Kollergang	Zerkleinerungsmaschine
Kolliquation	Entkräftung
Kolonialabteilung	Abteilung
Kolonisation	Begründung
Kombination	Zusammenfassung
Kommandánt	Befehlshaber
Kommandite	Zweigniederlassung
Kommittént	Auftraggeber
Kommodore	Kapitän
Kompletorium	Gebetsstunde
Kompréssor	Maschine
Konfiskation	Wegnahme
Kongréß	Zusammenkunft
Könige	Heilige
Königsau	Grenzfluß
Königsfischer	Eisvogel
Königsgelb	Kölner
Königsgrenadiere	Grenadierregiment
Königspinguin	Riesenpinguin
Königstaucher	Riesenpinguin
Konjugaten	Abteilung
Konrektor	Amtstitel
Konstituierende Versammlung	Versammlung
Kontinental	Festland
Konventikel	Versammlung
Kopfstück	Münze
Korjaken	Volksstamm
Korybánten	Begleiter
Kosák Lugánskij	Pseudonym
Kosmographie	Beschreibung
Kote	Bauernhaus
Kötenzopf	Haarbüschel
Koterie	Partei
Kotgeier	Aasgeier
Kotschwalbe	Uferschwalbe
Kotvogel	Wiedehopf
Kragennatter	Ringelnatter
Krähenspecht	Schwarzspecht
Kral	Hüttendorf
Kran	Apparat
Krankenversicherung	Versicherung
Kraterus	Heerführer
Kratzbeere	Brombeere
Kräuterkissen	Säckchen
Kreditversicherung	Versicherung
Kreodonten	Vorläufer
Krepitation	Geräusch
Kresilas	Zeitgenosse
Kreuzer	Scheidemünze
Kreuzfahrer	Teilnehmer
Kreuzritter	Teilnehmer
Kri	Indianerstamm
Kriegsministerium	Verwaltungsbehörde
Kriegsrat	Versammlung
Kriegsversicherung	Versicherung
Kriens	Pfarrdorf
Kriminal	Strafrecht
Kriminalíst	Lehrer
Kriminalität	Verhalten
Krimkrieg	Krieg
Krippe	Sternhaufen
Kritias	Redner
Krone von Indien	Orden
Kronstadt	Seefestung
Kronwerk	Außenwerk
Kropfente	Krähenscharbe
Kröteneier	Volksname
Kryptophon	Apparat
Ktesias	Zeitgenosse
Kublai	Enkel
Küchenelster	Mandelkrähe
Kuckucksknecht	Wiedehopf
Kuder	Wildkatze
Kujundschik	Ruinenhügel
Kuma	Kragenbär
Kumaon	Division
Kunkel	Alchimist
Kunstrad	Wasserrad
Kunstschmiedearbeiten	Schmiede
Kupferdruckerschwarz	Frankfurter
Kupferfasan	Fasan
Kupolofen	Schachtofen
Küraß	Brustharnisch
Kureten	Priester
Kurfürstenhut	Kopfbedeckung
Kurialíst	Beamter
Kurisches Haff	Strandsee
Kurpfuscherei	Ausübung
Kurprinz	Erbprinz
Kursieren	Umlauf
Kuruman	Missionsstation
Kurzwildbret	Hoden
Kuschiten	Bewohner
Kydonia	Tempel
Kyparissos	Liebling
Kyzlar Agassy	Oberaufseher
Laach	Benediktinerabtei
Ladon	Nebenfluß
Laferté	Pseudonym
Lagenaria vulgaris	Flaschenkürbis
Lagenevais	Pseudonym
Lagiden	Beiname
Lahire	Heerführer
Laienspiegel	Rechtsbuch
Laja	Nebenfluß
Laktation	Absonderung
Lambic	Buchweizen
Laminieren	Metall
Lamischer Krieg	Krieg
Landesausschuß	Volksvertretung
Landesschützen	Landwehr
Landesversicherungsamt	Zentralbehörde
Landgerichtsdirektor	Amtstitel
Landgerichtspräsident	Amtstitel
Landmeister	Würdenträger
Landrichter	Amtstitel
Landsgemeinden	Bürgerversammlung
Landsthing	Erste
Landsturm	Aufgebot
Landwehrkreuz	Abzeichen
Landwirtschaft	Industrie
Lange	Romanschriftsteller
Langesund	Städtchen
Lanista	Fechtmeister
Lanninon	Seebad
Lanquart	Nebenfluß
Lanz	Pseudonym
Lanze	Stoßwaffe
Lapidarschrift	Nachahmung
L'appétit vient en mangeant	Appetit
Larix	Lärche
La Roche	Ritter
Lasca	Beiname
Lasen	Bewohner
Laski	Bischof
Kurd Laßwitz	Philosoph
Latifundium	Landgut
Latimer	Märtyrer
Latitudinarier	Partei
La Trappe	Kloster
Latsche	Quellsee
Latter-Day Saints	Mormonen
Laurus	Lorbeer
Lausitzer Gebirge	Lausitzer
Lavabo	Waschbecken
Lederfabrikation	Verwandlung
Legionär	Soldat
Legitimation	Nachweis
Lehmguß	Gießen
Leibung	Durchbrechung
Leicheneule	Steinkauz
Leichenhuhn	Steinkauz
Leichenraub	Wegnahme
Leichenvogel	Steinkauz
Leina	Kleine
Leinenfischerei	Angelfischerei
Lenôtre	Schöpfer
Lentulus	Beiname
Lermolieff	Pseudonym
Le Roy	Seigneur
Lesse	Nebenfluß
Leuconostoc mesenterioides	Erreger
Leukorrhöe	Weißer
Leukosyrer	Bewohner
Leuzitit	Leuzit
Leye	Nebenfluß
Libussa	Begründerin
Licancaur	Vulkan
Lichtgeschwindigkeit	Geschwindigkeit
Liegnitz	Fürstin
Liek	Tauwerk
Lietze	Wasserhuhn
Likedeler	Beiname
Lindi	Militärstation
Linkshändigkeit	Verrichtung
Literarkonvention	Vertrag
Litewka	Uniformrock
Litholyse	Auflösung
Litwos	Pseudonym
Livreeraupe	Raupe
Liwale	Militärstation
LL.D.	Doktor
Llullaillaco	Vulkan
Loa	Vorspiel
Loangoküste	Küstenlandschaft
Lochmaschine	Maschine
Lochsäge	Handsäge
Lohfink	Gimpel
Lohme	Seebad
Loko	Handelsplatz
Lolli	Verfasser
Lolo	Eingeborene
Lombardus	Schüler
Longchamps	Rennplatz
Longimanus	Beiname
Longimetrie	Geometrie
Longwood	Meierei
Longwy	Grenzfestung
Lonza	Nebenfluß
Loo	Schloß
Lorgnette	Brille
Lorm	Pseudonym
Los	Stäbchen
Löschhorn	Pianist
Loti	Pseudonym
Low Church	Partei
Lowell-Mitrailleuse	Schnellfeuergeschütz
Löwentaler	Silbermünze
Lowry	Eisenbahnwagen
Lualaba	Quellfluß
Luchs	Sternbild
Lucina	Beiname
Lufft	Buchdrucker
Luggerbank	Sandbank
Lullus	Scholastiker
Lumpfisch	Seehase
Lunarium	Apparat
Lunden	Kirchspiel
Lungenentzündung	Durchsetzung
Lupus	Zitat
Luxembourg	Palast
Luzk	Festung
Lyall	Pseudonym
Lykopodinen	Abteilung
Lykúrgus	Gesetzgeber
Lynkeus	Verlobter
Lysimachus	Feldherr
Lyskowó	Kirchdorf
Macaluba	Schlammvulkan
Macao	Hasardspiel
MacCluer-Golf	Meerbusen
Madagassen	Einwohner
Maëstà	Christus
Mafia	Geheimbund
Magádis	Harfe
Magelone	Heldin
Mahadeva	Beiname
Maiföhre	Seeforelle
Mainfeldzug	Krieg
Maipo	Vulkan
Maipure	Indianerstamm
Maire	Vorsteher
Maisrebbler	Maschine
Majuba	Tafelberg
Makrosomie	Riesenwuchs
Malagasch	Einwohner
Malakostraken	Unterklasse
Malakow	Bastion
Malansche	Militärstation
Malegassen	Einwohner
Malgaschen	Einwohner
Mali-kha	Quellfluß
Malleolus	Knöchel
Maltatal	Hochgebirgstal
Maltoleguminose	Leguminose
Mamertus	Erzbischof
Mamma	Brust
Manche	Meeresarm
Mancini	Nichte
Mandi	Vasallenstaat
Manes	Stifter
Mange	Wurfmaschine
Mani	Stifter
Manikure	Pflege
Manilius	Verfasser
Manipel	Unterabteilung
Manipur	Vasallenstaat
Manks	Bewohner
Manno	Pseudonym
Mansion House	Amtswohnung
Mantelrohr	Geschützrohr
Manubien	Kriegsbeute
Mäonide	Beiname
Mapes	Günstling
Maphrian	Bischof
Mar del Plata	Seebad
Margolf	Eichelhäher
Marilaun	Ritter
Mariottesche Ausflußflasche	Apparat
Markwaldungen	Eigentum
Marlitt	Pseudonym
Maro	Familienname
Marquard	Eichelhäher
Marquise	Gemahlin
Marriot	Pseudonym
Marvel	Pseudonym
Märzblümchen	Leberblümchen
Maschinenpersonal	Personal
Masínde	Militärstation
Massaï	Volksstamm
Massegläubiger	Gläubiger
Masseter	Kaumuskel
Mastdarmfistel	Fistel
Mátra	Berggruppe
Matrikel	Verzeichnis
Mattervisp	Abfluß
Matthäus	Apostel
Matthäus	Stifter
Maturadiamant	Handelsname
Mauerspecht	Mauerläufer
Maultier	Bastard
Mauschel	Spottname
Mäusegeier	Mäusebussard
Mauser	Ablösung
Maya	Indianerstamm
Mayor	Dublin
Mbambwa	Militärstation
Mbuju	Affenbrotbaum
Mechanotherapie	Behandlung
Mechitaristen	Kongregation
Medem	Nebenfluß
Medem	Reichsgräfin
Medizinalpflanzen	Pflanzen
Meeradler	Seeadler
Mehemed Ali	Vizekönig
Mehlfabrikation	Herstellung
Mehlvogel	Kornweihe
Meißelpflug	Pflug
Me-kha	Quellfluß
Melanoskop	Zusammenstellung
Melanter	Pseudonym
Melitämie	Zuckergehalt
Melodrama	Schauspiel
Melusine	Stammmutter
Men	Mondgott
Menelik	Kaiser
Menenius Agrippa	Gesandte
Mensaleh	Strandsee
Mera	Zufluß
Mercerisation	Behandlung
Meredith	Pseudonym
Mérite	Orden
Mesenterium	Gekröse
Mesolithisch	Steinzeit
Mesomphalium	Nabel
Meßbrief	Urkunde
Messinggießerei	Herstellung
Meßkonten	Kontierung
Metemptose	Ausfall
Methylgrün	Pariser
Metronom	Apparat
Metrotomie	Kaiserschnitt
Michatoyat	Abfluß
Mikrographie	Beschreibung
Mikrometerzirkel	Apparat
Mikrosomie	Kleinheit
Milchwage	Aräometer
Militärstrafgesetzbuch	Gesetzbuch
Militärveterinärwesen	Personal
Millstone-grit	Sandstein
Mimnérmus	Schöpfer
Mimograph	Verfasser
Mimosazeen	Abteilung
Mindere Brüder	Franziskaner
Minderungsklage	Klage
Miquelets	Bergbewohner
Mirza Schaffy	Lehrer
Mises	Pseudonym
Missale	Meßbuch
Misti	Vulkan
Mitisguß	Eisenguß
Mitreederei	Verein
Mittelhuhn	Bastard
Mittelwort	Verdeutschung
Mittfasten	Mittwoch
Mittwoch	Wochentag
Mixteka	Indianervolk
Mnesikles	Erbauer
Mogador	Handelsplatz
Mogdischu	Handelsplatz
Mohammed	Stifter
Mohammedanismus	Islam
Mohoro	Handelsplatz
Mohrrübe	Gemüsepflanze
Mokkastein	Chalzedon
Molina	Lehrer
Molkereiwesen	Verarbeitung
Molossus	Versfuß
Mômiers	Spottname
Monarchie	Staatsform
Mönchsadler	Geier
Mönchsschrift	Handschrift
Mondsee	Alpensee
Moneta	Beiname
Monocycle	Fahrrad
Monókel	Augenglas
Monokulares Sehen	Sehen
Monsune	Winde
Mont-Avron	Anhöhe
Montenuovo	Fürst
Monte Vergine	Kloster
Montferrat	Markgraf
Montfort	Fürst
Mont-Genèvre	Bergpaß
Mont-Pelé	Vulkan
Montreux	Kirchspiel
Mont-Valérien	Hügel
Moorbirkhuhn	Bastard
Mordwinen	Völkerschaft
Morecambebai	Meerbusen
Moscherosch	Schriftsteller
Moselotte	Kleine
Moskowiter	Einwohner
Mostwage	Aräometer
Moulinet	Drehkreuz
Mount Vernon	Landgut
Mowana	Affenbrotbaum
Mubarraz	Festung
Mull	Maulwurf
Müller	Mehlkäfer
Müller	Freund
Multatuli	Pseudonym
Mundraub	Entwendung
Münzfälschung	Herstellung
Murad Efendi	Schriftsteller
Mürren	Bergdorf
Mirza Musaffer ed-dîn	Schah
Musagétes	Beiname
Musca	Fliege
Muschik	Bauer
Musivisches Sehen	Sehen
Mustapha	Großwesir
Musterrolle	Urkunde
Mutinensischer Krieg	Belagerung
Mutoskop	Apparat
Mutter Gottes	Jungfrau
Mutterrolle	Verzeichnis
Muzaffer ed-dîn	Schah
Myiodesopsie	Flimmern
Mykenä	Herrschersitz
Mylius	Pseudonym
Myrmidonen	Kriegsvolk
Mythographen	Schriftsteller
Nab	Nebenfluß
Nabis	Tyrann
Nabob	Verwalter
Nachindossament	Indossament
Nachtkauz	Waldkauz
Nachtwandeln	Somnambulismus
Nadeldiorit	Diorit
Nadelstuhl	Webstuhl
Nadir	Schah
Nagájka	Peitsche
Namâz	Gebet
Narówa	Abfluß
Nase	Geruchsorgan
Naso	Beiname
Natalitium martyris	Todestag
Nativität	Prophezeiung
Natrium	Alkalimetall
Natunainseln	Archipel
Nauplia	Napoli
Nautik	Zusammenfassung
Navigare necesse est, vivere non est necesse	Schiffahrt
Nazarener	Beiname
Neander	Freund
Neander	Humanist
Neapel	Prinz
Neárchus	Jugendfreund
Nebraska	Nebenfluß
Necessaire	Kästchen
Neers	Nebenfluß
Negatorienklage	Klage
Negritos	Ureinwohner
Neige	Wollstoff
Neith	Gefährtin
Nekromantie	Weissagung
Nellerto	Pseudonym
Nena-Sahib	Führer
Filippo Neri	Stifter
Nervenkrankheiten	Nervensystem
Nest	Seebad
Netzfischerei	Fischfang
Netzhautablösung	Abhebung
Neubabelsberg	Villenkolonie
Neuer Stil	Zeitrechnung
Neuherrnhut	Missionsstation
Neujahrsfest	Feier
Neuschwanstein	Schloß
Neustädter Bucht	Lübecker
Neutralität	Nichtteilnahme
Newar	Urbevölkerung
Newjánskij-Sawód	Hüttenwerk
Nichtigkeitsbeschwerde	Rechtsmittel
Nideck	Schloßruine
Niederyssel	Kleine
Niggeröl	Baumwollsamenöl
Nimbschen	Klosterruine
Nioro	Handelsplatz
Nivellement	Messen
Njegusch	Beiname
Njördhr	Schiffahrt
Nomárch	Vorsteher
Nonintrusionisten	Partei
Nonnenentchen	Säger
Nordgermanen	Bewohner
Nordostpassat	Passat
North	Pseudonym
Nortonsund	Busen
Norwegische Nachtigall	Rotdrossel
Notensteuer	Steuer
Notieren	Feststellung
Nötigung	Vergehen
Notwehr	Verteidigung
Novalis	Pseudonym
Novation	Tilgung
Nowogeorgijéwsk	Festung
Nufenenpaß	Bergpaß
Nußbeißer	Kernbeißer
Nut	Mutter
Obduktion	Besichtigung
Obergefreiter	Dienstgrad
Oberjäger	Unteroffizier
Oberrichter	Amtstitel
Oberstleutnant	Dienstgrad
Obervormundschaft	Oberaufsicht
Oboe	Holzblasinstrument
Obstwickler	Apfelwickler
Ochsenfisch	Lamantin
Ofenpaß	Alpenpaß
Ofotenfjord	Fjord
O'Hara	Pseudonym
Ohrkauz	Zwergohreule
Okahandja	Militärstation
Oktoberdiplom	Manifest
Ölfarbendruck	Nachahmung
Ölschiefer	Fischen
Olympieion	Tempel
Ombrés	Zeuge
Omega	Buchstabe
Onager	Wurfmaschine
Onomakritus	Wahrsager
Önotrer	Bewohner
Opener	Reinigungsmaschine
Opfer	Darbringung
Ophikleide	Blasinstrument
Opisthobranchiaten	Hinterkiemer
Opiumkrieg	Krieg
Optimus	Beste
Optisch	Sehen
Oranienstein	Schloß
Oranjeflußkolonie	Orange
Oratorianer	Priester
Oratorium	Kapelle
Orbilius Pupillus	Lehrer
Orbilius Pupillus	Grammatiker
Ordenskapitel	Versammlung
Ordinieren	Ordination
Organotherapie	Behandlung
Orianda	Besitzung
Orientalíst	Kenner
Grigorij Orlow	Günstling
Ornat	Amtskleidung
Ornithologie	Naturgeschichte
Ornus	Blumenesche
Orphaniten	Partei
Orsatscher Apparat	Apparat
Orth	Schloß
Ortsdienst	Offizier
Osagen	Indianerstamm
O'Shannassyfluß	Quellfluß
Osman	Gründer
Osman Digna	Parteigänger
Ossip Schubin	Pseudonym
Ostermesse	Frühjahrsmesse
Ostermonat	April
Osterstein	Residenzschloß
Othmân	Kalif
Othomi	Volksstamm
Otjomokojo	Militärstation
Ouida	Pseudonym
Ouvirándra fenestralis	Wasserpflanze
Ouvrier	Arbeiter
Ovine	Impfung
Oxford	Abteilung
Oyapoc	Grenzfluß
Bartolommeo Pacca	Kardinal
Pädiater	Behandlung
Padischah	Kaiser
Paian	Beiname
Palais-Royal	Palast
Paläologen	Herrscher
Palatina	Heidelberger
Palimpsést	Handschrift
Palingenesie	Wiederentstehung
Palínurus	Steuermann
Palmenfest	Laubhüttenfest
Palmkohl	Euterpe
Palpikornier	Wasserkäfer
Pamlicosund	Meeresarm
Pamphlet	Verfasser
Panamerikanischer Kongreß	Versammlung
Panhellenion	Heiligtum
Pankreas	Bauchspeicheldrüse
Pantalone	Charaktermaske
Pantänus	Vorsteher
Pantschmaschine	Waschmaschine
Panzerbarsch	Stachelflosser
Panzerkreuzer	Kreuzer
Papier	Papyrusstaude
Papilionazeen	Abteilung
Papyrograph	Apparat
Parachute	Fallschirm
Paragium	Abfindung
Paraguay	Republik
Paralexie	Schriftzeichen
Paraphérnen	Sondervermögen
Pare	Gebirgslandschaft
Parens	Bewohner
Parfümerie	Bereitung
Parlamentarisch	Parlament
Parlatorium	Sprechzimmer
Parmenion	Vertrauter
Par nobile fratrum	Zitat
Paronomasie	Zusammenstellung
Parotis	Ohrspeicheldrüse
Paß	Gangart
Passigdrehen	Herstellung
Pastor	Pfarrer
Pastorale	Singspiel
Pastoralsinfonie	Sinfonie
Pastorat	Amtswohnung
Pastorellen	Teilnehmer
Patan	Ortsname
Patarener	Spottname
Pater seraphicus	Beiname
Pathophobie	Furcht
Patibulum	Querbalken
Patn	Ortsname
Patois	Dialekt
Patronendrehbank	Drehbank
Pattan	Ortsname
Pauken	Duellant
Pawnee	Indianerstamm
Paznauntal	Hochgebirgstal
Peale	Pseudonym
Pecci	Familienname
Pechuenche	Dialekt
Pedro	Kaiser
Pegu	Division
Peigneur	Abnehmer
Peinture-mate	Malerei
Peisistratos	Tyrann
Peleus	Beherrscher
Pelide	Beiname
Pellegrin	Pseudonym
Pelseide	Seide
Pensionär	Zögling
Pentere	Kriegsschiff
Peperino	Albaner
Peplos	Festgewand
Perdikkas	Vertrauter
Perey	Pseudonym
Perhorreszieren	Schauder
Perióst	Knochenhaut
Peripatetische Philosophie	Philosophie
Peritonäum	Bauchfell
Perkun	Donnergott
Permier	Volksstamm
Persönliche Klage	Klage
Peschiera	Festung
Alexandre Pétion	Präsident
Petitor	Bewerber
Petschérskaja Lawra	Kloster
Pfahlwurm	Schiffsbohrwurm
Pfalzgrafenstein	Schloß
Pfändung	Ergreifung
Pfänner	Besitzer
Pfarrer	Geistliche
Pferdegelder	Entschädigung
Pflaume	Obstgehölz
Pflaumenmotte	Motte
Pflug	Ackergerät
Phädon	Schüler
Phenanthren	Begleiter
Phiale	Trinkschale
Philadélphus	Beiname
Philalethes	Schriftstellername
Philetärus	Stifter
Phlegmatiker	Mensch
Phokis	Berglandschaft
Phorminx	Kithara
Photochromatische Theraphie	Behandlung
Photochronograph	Kamera
Phryne	Hetäre
Phul	Beiname
Phyllotáxis	Blattstellung
Physikus	Kenner
Physostigma venenosum	Kletterpflanze
Phyto	Pflanzen
Phytotherapie	Behandlung
Picander	Pseudonym
Pichincha	Vulkan
Piëriden	Beiname
Pike	Lanze
Pincenez	Brille
Pinealdrüse	Zirbeldrüse
Pipette	Glasröhre
Pisistratus	Tyrann
Pissa	Quellfluß
Pitztal	Hochgebirgstal
Pizarro	Entdecker
Plakoiden	Fische
Planetarium	Maschine
Plantagenet	Zuname
Plärre	Bläßhuhn
Platzangst	Angstzustand
Plenarsitzung	Versammlung
Plon-Plon	Spitzname
Pluvius	Beiname
Pneumatograph	Apparat
Poken	Vorarbeit
Polaristrobometer	Apparat
Polias	Beiname
Poliment	Goldgrund
Politesse	Artigkeit
Polka	Rundtanz
Polo	Ballspiel
Polychromographie	Herstellung
Polyklet	Meister
Polykrates	Tyrann
Polymetrie	Vielheit
Polyspérchon	Feldherr
Polyzoen	Moostierchen
Pomeen	Unterabteilung
Pomona	Gemahlin
Pompejus Trogus	Zeitgenosse
Ponta da Lenha	Handelsplatz
Pontifikalmesse	Messe
Pontus Euxinus	Schwarze
Popocatepetl	Vulkan
Populus	Pappel
Pornograph	Verfasser
Porphyr	Eruptivgestein
Porphyrogennetos	Beiname
Porrosche Operation	Entbindung
Porsanger Fjord	Meerbusen
Port Darwin	Einbuchtung
Portefeuille	Mappe
Port Essington	Einbuchtung
Portiunkula	Kirchlein
Portofreiheit	Vergünstigung
Portsdownhügel	Hügel
Port Sudan	Scheik
Posilípo	Hügel
Postalisch	Postverwaltung
Postauftrag	Einziehung
Postskriptum	Nachschrift
Postzwang	Gebot
Potaro	Nebenfluß
Poterie	Herstellung
Präbénde	Inhaber
Praguerie	Aufstand
Prälegat	Vermächtnis
Prämienversicherung	Versicherungsvertrag
Präparánd	Schüler
Präputium	Vorhaut
Präsidént	Vorsitzende
Praxis	Ausübung
Präzéptor	Lehrer
