Aali Pascha	1815
Guglielmo Ciardi	13. Sept. 1844
Cibber	1671
Leopoldo Cicognara	17. Nov. 1767
Carlo Cignani	15. Mai 1628
Cigoli	1559
Cima	1460
Domenico Cimarosa	17. Dez. 1749
Cino da Pistoja	1270
Cinq-Mars	1620
Emil Claar	7. Okt. 1842
Léon Cladel	13. März 1835
Clairon	1723
Louis François Clairville	28. Jan. 1811
Johann Clajus	24. Juni 1535
Graf Eduard von Clam-Gallas	14. März 1805
Clapperton	1788
John Clare	13. Juli 1793
Clarence	8. Jan. 1864
Edward Hyde Clarendon	18. Febr. 1609
George William Frederi Clarendon	12. Jan. 1800
Jules Claretie	3. Dez. 1840
Alvan Clark	8. März 1804
Clarke	17. Okt. 1765
Clarke	1817
Graf Manfred von Clary und Aldringen	30. Mai 1852
Karl Clasen	19. Okt. 1812
Claude Lorrain	1600
Matthias Claudius	15. Aug. 1740
Karl Friedrich Wilhelm Claus	2. Jan. 1835
Bertrand Clausel	12. Dez. 1772
Karl von Clausewitz	1. Juni 1780
Rudolph Julius Emanuel Clausius	2. Jan. 1822
Adolf von Clauson-Kaas	16. Mai 1826
Henry Clay	12. April 1777
John Middleton Clayton	24. Juli 1796
Alfr. Clebsch	14. Jan. 1833
Eugène Clemenceau	28. Sept. 1841
Clemens August Kurfürst von Köln	16. Aug. 1700
Clemens Wenzeslaus	1739
Clementi	1752
Clerfayt	14. Okt. 1733
Auguste Clesinger	22. Okt. 1814
Cleveit	10. Febr. 1840
Grover Cleveland	18. März 1837
Robert Clive	29. Sept. 1725
Peter Karlowitsch Clodt von Jürgensburg	29. Mai 1805
Johann Baptista Cloots	24. Juni 1755
Clovio	1498
Gustave Paul Cluseret	13. Juni 1823
Cluver	1580
Richard Cobden	3. Juni 1804
Ludwig Cobenzl	21. Nov. 1753
Heinrich Cocceji	25. März 1644
Johs. Coccejus	9. Aug. 1603
Ernst Adolf Coccius	19. Sept. 1825
Louis Adolphe Cochery	26. April 1819
Cochin	1688
Thomas Cochrane	14. Dez. 1775
John Cockerill	3. Aug. 1790
Codrington	1770
Coehoorn	1641
Coello	1621
Michael Cogalniceanu	6. Sept. 1817
Léon Cogniet	29. Aug. 1794
Emil Cohen	12. Okt. 1842
Ferdinand Cohn	24. Jan. 1828
Gustav Cohn	12. Dez. 1840
Hermann Cohn	4. Juni 1838
Klara Cohn	17. Juli 1860
Julius Friedrich Cohnheim	20. Juli 1839
Sir Edward Coke	1. Febr. 1552
Jean Baptiste Colbert	29. Aug. 1619
Henry Thomas Colebrooke	15. Juni 1765
Alwin von Coler	15. März 1831
Samuel Taylor Coleridge	20. Okt. 1772
Colette	1380
Gaspard de Coligny	16. Febr. 1519
Colins	1526
Colleoni	1400
Camilla Collett	23. Jan. 1813
Pietro Colletta	23. Jan. 1775
John Paine Collier	11. Jan. 1789
Heinrich Joseph von Collin	26. Dez. 1772
Cuthbert Collingwood	26. Sept. 1750
William Wilkie Collins	8. Jan. 1824
Colman	1832
Luis Coloma	9. Jan. 1851
Philipp Howard Colomb	29. Mai 1831
Marc, Colombat de l'Isère	18. Juli 1798
Colombo	1845
Colonna	1640
Archibald Roß Colquhoun	14. März 1848
Samuel Colt	19. Juli 1814
Emile Combes	6. Sept. 1835
Amos Comenius	28. März 1592
Philibert Commerson	18. Nov. 1727
Ygnacio Comonfort	12. März 1812
Domenico Comparetti	27. Juni 1835
Auguste Comte	19. Jan. 1798
Pierre Charles Comte	23. April 1823
Charles Marie de la Condamine	28. Jan. 1701
Condé	7. Mai 1530
Condillac	30. Sept. 1715
Condorcet	17. Sept. 1743
Richard Congreve	4. Sept. 1818
Sir William Congreve	20. Mai 1772
Connaught	1. März 1850
John Conolly	27. Mai 1794
Johannes Conrad	28. Febr. 1839
Michael Georg Conrad	5. April 1846
Georg Conräder	18. Mai 1838
Hermann Conring	9. Nov. 1606
Ercole Consalvi	8. Juni 1757
Hendrick Conscience	3. Dez. 1812
Victor Considérant	12. Okt. 1808
John Constable	11. Juni 1776
Jean Antoine Ernest Constans	3. Mai 1833
Benjamin Constant	10. Juni 1845
Constant de Rebecque	23. Okt. 1767
Contarini	1483
Christian Jakob Salice-Contessa	21. Febr. 1767
Conti	11. Okt. 1629
Augusto Conti	4. Dez. 1822
Alexander Conze	10. Dez. 1831
James Cook	27. Okt. 1728
Sir Astley Patson Cooper	23. Aug. 1768
James Fenimore Cooper	15. Sept. 1789
Charles West Cope	28. Juli 1811
Edward Drinker Cope	28. Juli 1840
François Coppée	12. Jan. 1842
Michael Coppino	1. April 1822
Benoît Constant Coquelin	25. Jan. 1841
Coques	1618
Guido Cora	20. Dez. 1851
Edward Henry Corbould	5. Dez. 1815
Charlotte Corday d'Armont	27. Juli 1768
Charles Cordier	19. Okt. 1827
Gonsalvo Hernandez de Aguilar de Córdova	16. März 1443
Valerius Cordus	18. Febr. 1515
Corelli	1653
Corelli	1855
Corelli	1860
Cormontaigne	1695
Cornaro	1454
Pierre Corneille	6. Juni 1606
Karl Adolf Cornelius	12. März 1819
Charles Mann Cornwallis	31. Dez. 1738
Franz Coronini-Cronberg	18. Nov. 1833
Camille Corot	28. Juli 1796
August Corrodi	27. Febr. 1826
Corrodi	1810
Wilhelm Corssen	20. Jan. 1820
Frans de Cort	21. Juni 1834
Cortez	1485
Pietro da Cortona	1. Nov. 1596
Konrad Cosack	12. März 1855
Cosel	17. Okt. 1680
Charlotte von Cosel	6. Jan. 1818
Cosimo	1441
Luigi Cossa	27. Mai 1831
Pietro Cossa	29. Jan. 1834
Isaac da Costa	14. Jan. 1798
Costa	1460
Michele Costa	4. Febr. 1810
Giuseppe Costetti	13. Sept. 1834
Heinrich Cotta	30. Okt. 1736
Johann Friedrich Cotta	27. April 1764
Cotte	1656
Cottunni	29. Jan. 1736
Karl Coudenhove	8. Febr. 1855
Auguste Couder	1. April 1789
Charles Augustin de Coulomb	11. Juni 1736
François Couperin	10. Nov. 1668
Louis Couperus	10. Jan. 1863
Gustave Courbet	10. Juni 1819
Guillaume René Courbière	23. Febr. 1733
Alphonse Chodron de Courcel	30. Juli 1835
Antoine Court	17. Mai 1696
Victor Cousin	28. Nov. 1792
Cousin-Montauban	24. Juni 1796
Cousins	1801
Familie Coustou	9. Jan. 1658
Thomas Couture	21. Dez. 1815
Frederic Cowen	29. Jan. 1852
Cowley	1618
Cowper	1666
William Cowper	15. Nov. 1731
David Cox	29. April 1783
Sir George William Cox	10. Jan. 1827
Henry Tracey Coxwell	2. März 1819
Antoine Coyzevox	29. Sept. 1640
George Crabbe	24. Dez. 1754
Craik	1798
Craik	1831
Krafft Crailsheim	15. März 1841
Johann Andreas Cramer	27. Jan. 1723
Cramer	24. Febr. 1771
Karl Gottlob Cramer	3. März 1758
Lukas Cranach	4. Okt. 1472
Gathorne Hardy Cranbrook	1. Okt. 1814
Walter Crane	15. Aug. 1845
Thomas Cranmer	2. Juli 1489
Francis Marion Crawford	2. Aug. 1854
Thomas Crawford	22. März 1814
Gaspar de Crayer	18. Nov. 1584
Prosper Jolyot de Crébillon	13. Jan. 1674
Karl Siegmund Franz Credé	23. Dez. 1819
Hermann Credner	1. Okt. 1841
Mandell Creighton	5. Juli 1843
Wilhelm Creizenach	4. Juni 1851
Auguste Crelinger	7. Okt. 1795
August Leopold Crelle	11. März 1780
Hermann Cremer	18. Okt. 1834
Jakobus Jan Cremer	1. Sept. 1827
Cremer	1838
Isaac Adolphe Crémieux	30. April 1796
Luigi Cremona	7. Dez. 1830
Crescentiis	1230
Crespi	1557
Konstantin Cretius	6. Jan. 1814
Friedrich Creuzer	10. März 1771
Francesco Crispi	4. Okt. 1819
Cristofori	1655
Croce	1550
Ernest Crofts	15. Sept. 1847
Heinrich Crola	6. Juni 1804
John Crome	21. Dez. 1769
Evelyn Cromer	26. Febr. 1841
Samuel Crompton	3. Dez. 1753
Oliver Cromwell	25. April 1599
Johann Friedrich Cronegk	2. Sept. 1731
Abraham Peter Cronholm	22. Okt. 1809
Crookes	1832
Richard Assheton Croß	20. Mai 1823
Sir Joseph Archer Crowe	25. Okt. 1825
Crozat	1655
Kaspar Cruciger	1. Jan. 1504
Johann Crüger	9. April 1598
George Cruikshank	27. Sept. 1792
Otto Crusius	20. Dez. 1857
Cruz	1542
Cruz	12. Nov. 1651
Albin Csáky	19. April 1841
Gregor Csiky	8. Dez. 1842
Michael Csokonai	17. Nov. 1773
Cesar Antonowitsch Cui	6. Jan. 1835
Cujacius	1522
Ernst August Cumberland	21. Sept. 1845
Wilhelm August Cumberland	26. April 1721
Richard Cumberland	19. Febr. 1732
Maria Cummins	9. April 1827
Cunard	1787
Alexander Cunningham	23. Jan. 1814
Allan Cunningham	7. Dez. 1784
Carlo Maria Curci	4. Sept. 1809
Pierre Curie	15. Mai 1859
Heinrich Curschmann	28. Juni 1846
Karl Friedrich Curschmann	21. Juni 1805
George Ticknor Curtis	28. Nov. 1812
Ernst Curtius	2. Sept. 1814
Geo Curzon of Kedleston	11. Jan. 1859
Alexander Johann Cusa	20. März 1820
Cusanus	1401
Robert Needham Cust	24. Febr. 1821
Adam Philippe Custine	4. Febr. 1740
George Cuvier	23. Aug. 1769
Cuvilliés	1695
Cuyp	1620
Cuypers	1827
Wladislaw von Czachórski	22. Sept. 1850
Czajkowski	1808
Czartoryski	1. Dez. 1734
Johann Nepomuk Czermak	17. Juni 1828
Karl Czerny	21. Febr. 1791
Vinzenz Czerny	19. Nov. 1842
Johs. Czerski	12. Mai 1813
Karl Czörnig	5. Mai 1804
Georg Czuczor	17. Dez. 1800
Karl Czyhlarz	17. Aug. 1833
Simon Dach	29. Juli 1605
Servaas Domien Daems	4. Juni 1838
Hermann Wilhelm Daendels	21. Okt. 1762
Adolphe Dagnan-Bouveret	7. Jan. 1852
Louis Jacques Mandé Daguerre	18. Nov. 1789
Alexander Daguet	12. März 1816
Hans Dahl	19. Febr. 1849
Johann Christian Claußen Dahl	24. Febr. 1788
Konrad Dahl	24. Juni 1843
Dahl	1801
John Adolf Dahlgren	13. Nov. 1809
Friedrich Christoph Dahlmann	13. Mai 1785
Felix Dahn	9. Febr. 1834
Gottlieb Daimler	17. März 1834
Nicolas Dalayrac	13. Juni 1753
James Andrew Broun-Rams Dalhousie	22. April 1812
William Healey Dall	21. Aug. 1845
Dalling	13. Febr. 1801
Dall'Oca Bianca	April 1858
Dall'Ongaro	1808
Dalon	1838
Hermann Dalton	20. Aug. 1833
John Dalton	5. Sept. 1766
John Dalton	2. Febr. 1825
Karl Friedrich Reinhard Dalwigk	19. Dez. 1802
Otto Dambach	16. Dez. 1831
Damiani	1007
Damiens	1714
Dampier	1652
James Dwight Dana	12. Febr. 1813
Dana	1. Aug. 1815
Alexander Danckelman	24. Nov. 1855
Bernhard Danckelmann	5. April 1831
Eberhard Danckelmann	23. Nov. 1643
Charles Dancla	19. Dez. 1818
Alessandro D'Ancona	20. Febr. 1835
Karl Dändliker	6. Mai 1849
Joseph Danhauser	19. Aug. 1805
Georg Dánicic	4. April 1825
Ernst Dániel	23. Mai 1843
Hermann Adalbert Daniel	18. Nov. 1812
Grigorij Petrowitsch Danilewskij	26. April 1829
Danilo Fürst von Montenegro	21. Mai 1826
Johann Heinrich von Dannecker	15. Okt. 1758
Hermann Dannenberg	24. Juli 1824
Antoine Laurent Dantan	8. Dez. 1798
Dante Alighieri	1265
Georges Danton	28. Okt. 1759
Theodor Wilhelm Danzel	4. Febr. 1818
Lorenzo Daponte	10. März 1749
Ignaz von Darányi	15. Jan. 1849
Georges Darboy	16. Jan. 1813
Jean Pierre Joseph D'Arcet	7. Sept. 1725
Dareste de la Chavanne	25. Okt. 1820
Felix Darley	23. Juni 1822
Arsène Darmesteter	5. Jan. 1846
Darnley	7. Dez. 1545
Pierre Antoine Bruno Daru	12. Jan. 1767
Erasmus Darwin	12. Dez. 1731
Jekaterina Romanowna Daschkow	28. März 1743
Charles Daubigny	15. Febr. 1817
Gabriel Auguste Daubrée	25. Juni 1814
Alphonse Daudet	13. Mai 1840
Georg Friedrich Daumer	5. März 1800
Daun	19. Okt. 1669
Félicien David	13. April 1810
Ferdinand David	19. Jan. 1810
Jakob Julius David	6. Febr. 1859
Louis David	31. Aug. 1748
Pierre Jean David	12. März 1789
Henriette Davidis	1. März 1800
Karl Davídow	15. März 1838
Jefferson Davis	3. Juni 1808
Michael Davitt	25. März 1846
Davout	10. Mai 1770
Sir Humphry Davy	17. Dez. 1778
Bogumil Dawison	15. Mai 1818
Heinrich De Ahna	22. Juni 1835
Franz Deák	17. Okt. 1803
Edmondo De Amicis	21. Okt. 1846
Jean Baptiste Joseph Debay	16. Okt. 1779
Antonin Debidour	31. März 1847
Alexander Gabriel Decamps	3. März 1803
Augustin Pyrame De Candolle	4. Febr. 1778
Elie Decazes	28. Sept. 1780
Adolphe Dechamps	17. Juni 1807
Decken	30. Nov. 1828
Karl Klaus Decken	8. Aug. 1833
Georg Jakob Decker	12. Febr. 1732
Karl von Decker	21. April 1784
Decker	1570
Franz von Defregger	30. April 1835
Ernst Deger	15. April 1809
Mich Johann De Goeje	13. Aug. 1836
Angelo De Gubernatis	7. April 1840
Richard Dehmel	18. Nov. 1863
Siegfried Dehn	25. Febr. 1799
Alfred Dehodencq	22. April 1822
Hans Deiker	27. Mai 1822
Heinrich Deiters	5. Sept. 1840
Virginie Déjazet	30. Aug. 1798
Agathe Deken	10. Dez. 1741
Eduard Douwes Dekker	2. März 1820
Eugène Delacroix	26. April 1798
Paul Delaroche	17. Juli 1797
Charles Eugène Delaunay	9. April 1816
Elie Delaunay	12. Juni 1828
Louis Arsène Delaunay	21. März 1826
Casimir Delavigne	4. April 1793
Hans Delbrück	11. Nov. 1848
Klemens Delbrück	19. Jan. 1856
Delbrück	16. April 1817
Théophile Delcassé	1. März 1852
Grazia Deledda	9. Okt. 1873
Louis Charles Delescluze	20. Okt. 1809
Leo Delibes	21. Febr. 1836
Epameinondas Deligeorgis	10. Febr. 1829
Delijannis	1826
Delille	22. Juni 1738
Franz Delitzsch	23. Febr. 1813
Nik. Delius	19. Sept. 1813
Lorenzo Delleani	17. Jan. 1840
Rudolf Dellinger	8. Juli 1857
Isidoro Del Lungo	20. Dez. 1841
George Washington De Long	22. Aug. 1844
De l'Orme	28. Juli 1783
Frederigo Delpino	27. Dez. 1833
Albert Delpit	30. Jan. 1849
Delvaux	1695
Heinrich Dembinski	3. Mai 1791
Demetrius	12. Okt. 1350
August Demmin	1. April 1817
Klemens Denhardt	3. Aug. 1852
Heinrich Suso Denifle	16. Jan. 1844
Hektor Denis	29. April 1842
Michael Denis	27. Sept. 1729
Balthasar Denner	15. Nov. 1685
Johann Christoph Denner	13. Aug. 1655
Adolphe Philippe Dennery	17. Juni 1811
Franz Joseph Denzinger	24. Febr. 1821
Agostino Depretis	31. Jan. 1813
Marcel Deprez	19. Dez. 1843
Thomas De Quincey	15. Aug. 1785
Edward Geoffrey Smith Stanley Derby	29. März 1799
Georg Derfflinger	10. März 1606
Heinrich Dernburg	3. März 1829
Charles Derosne	23. Jan. 1780
Paul Deroulède	2. Sept. 1846
Julius Derschatta	12. Sept. 1852
Gawril Romanowitsch Dersháwin	13. Juli 1743
Derwisch Pascha	1817
Francesco De Sanctis	28. März 1817
Pierre Joseph Desault	6. Febr. 1744
Marcelline Desbordes-Balmore	20. Juni 1786
René Descartes	31. März 1596
Emile Deschamps	20. Febr. 1791
Emile Deschanel	14. Nov. 1819
Alfred Louis Olivi Des Cloizeaux	17. Okt. 1817
Deshoulières	1. Jan. 1638
Abel Desjardins	26. Juli 1814
Anselm Gaetan Desmarest	16. März 1784
Desmarets de Saint-Sorlin	1595
Paul De Smet de Naeyer	13. Mai 1843
Desmoulins	1760
Auguste Boucher Desnoyers	20. Dez. 1779
Desor	1811
De Spuches	1819
Ludwig Dessoir	15. Dez. 1810
Joseph Anton von Destouches	12. März 1767
Paul Emile Destouches	16. Dez. 1794
Destutt de Tracy	20. Juli 1754
Johann Hermann Detmold	24. Juli 1807
Laurent Didier Detouche	29. Juli 1815
Ludwig Dettmann	25. Juli 1865
Peter Dettweiler	4. Aug. 1837
Konrad Deubler	26. Nov. 1814
Deucher	Febr. 1831
João de D. Ramos Deus	8. März 1830
Paul Deussen	7. Jan. 1845
Rudolf von Deutsch	27. Okt. 1835
Familie Devrient	15. Dez. 1784
James Dewar	20. Sept. 1842
Christian De Wet	7. Okt. 1854
Wilhelm Martin Leberecht De Wette	12. Jan. 1780
George Dewey	26. Dez. 1837
Antonio Diabelli	6. Sept. 1781
Geliebte Diane de Poitiers	3. Sept. 1499
Antonio Gonçalves Dias	10. Aug. 1823
Porfirio Diaz	15. Sept. 1830
Narciso Diaz de Escobar	25. Juni 1860
Charles Dibdin	4. März 1745
Charles Dickens	7. Febr. 1812
François Diday	12. Febr. 1802
Denis Diderot	5. Okt. 1713
Henri Didon	17. März 1840
Didot	20. Dez. 1790
Wilhelm Dieckerhoff	18. Okt. 1835
Diede	1769
Otto von Diederichs	7. Aug. 1843
Lorenz Diefenbach	29. Juli 1806
Christian Dieffenbach	4. Dez. 1822
Johann Friedrich Dieffenbach	1. Febr. 1795
August Dieffenbacher	14. Aug. 1858
August Friedrich Adrian Diel	3. Febr. 1756
Hermann Diels	18. Mai 1848
Joseph Dienger	5. Nov. 1818
Diepenbeeck	1596
Melchior Diepenbrock	6. Jan. 1798
Johs. Dieraner	20. März 1842
Gustav Diercks	13. Jan. 1852
Franz Xaver Dieringer	22. Aug. 1811
Karl Wilhelm von Dieskau	9. Aug. 1701
Adolf Diesterweg	29. Okt. 1790
Eugen Dieterich	6. Okt. 1840
Karl Friedrich Wilhelm Dieterici	23. Aug. 1790
Diether	1412
Albert Dietrich	28. Aug. 1829
Anton Dietrich	27. Mai 1833
Christian Wilhelm Ernst Dietrich	30. Okt. 1712
Lorents Henrik Segelcke Dietrichson	1. Jan. 1834
Dietrichstein	22. Aug. 1570
Dietsch	1681
Feodor Dietz	29. Mai 1813
Heinrich Dietzel	19. Jan. 1857
Auguste Marcel Dieulafoy	3. Aug. 1844
Dieulafoy	1840
Friedrich Diez	15. März 1794
Robert Diez	20. April 1844
Wilhelm von Diez	17. Jan. 1839
Karl Emil Diezel	8. Dez. 1779
Waling Dijkstra	14. Aug. 1821
Charles Wentworth Dilke	8. Dez. 1789
Ludwig Dill	2. Febr. 1848
August Dillmann	25. April 1823
Dillon	1851
Wilhelm Dilthey	19. Nov. 1834
Emmy von Dincklage-Campe	13. März 1825
Wilhelm Dindorf	2. Jan. 1802
Franz Dingelstedt	30. Juni 1814
Johann Gottfried Dingler	2. Jan. 1778
Dinglinger	1665
Diniz	14. Nov. 1839
Gustav Friedrich Dinter	29. Febr. 1760
Dionysius der Gerechte König von Portugal 	9. Okt. 1261
Johann Konrad Dippel	10. Aug. 1673
Leopold Dippel	4. Aug. 1824
Peter Gustav Lejeune Dirichlet	13. Febr. 1805
Martin Disteli	1. Mai 1802
Lampert Distelmeyer	22. Febr. 1522
Karl Ditters von Dittersdorf	2. Nov. 1739
Friedrich Dittes	23. Sept. 1829
Dixon	1833
William Hepworth Dixon	30. Juni 1821
Dlugosz	1415
Eduard Dobbert	25. März 1839
Karl Theodor Döbelin	27. April 1727
Johann Wolfgang Döbereiner	13. Dez. 1780
Franz Dobiaschofsky	23. Nov. 1818
Gelasius Dobner	30. Mai 1719
Joseph Dobrowsky	17. Aug. 1753
Dobson	18. Jan. 1840
Dobson	1610
Friedrich Jakob Dochnahl	4. März 1820
Dóczi	30. Nov. 1845
Dodds	1842
Ludwig Döderlein	19. Dez. 1791
Dodge	1828
Dodge	1838
Christian Wilhelm von Dohm	11. Dez. 1751
Ernst Dohm	24. Mai 1819
Robert Dohme	17. Juni 1845
Karl August Dohrn	27. Jan. 1806
Carlo Dolci	25. Mai 1616
Dolet	1509
Dolgorúkij	1667
Dolgorúkij	1846
Jean Dollfus	25. Sept. 1800
Ignaz Döllinger	24. Mai 1770
Georg von Dollmann	21. Okt. 1830
John Dollond	10. Juli 1706
Déodat Guy Silvain Tancrède Dolomieu	24. Juni 1750
Johann Heinrich Dombrowski	29. Aug. 1755
Raoul Dombrowski	3. Juni 1833
Dominikus	1170
Thomas Leverton Donaldson	17. Okt. 1795
Cesare Donati	28. Sept. 1826
Giambattista Donati	16. Dez. 1826
Franz Cornelius Donders	27. Mai 1818
Dondúkow-Korssákow	1822
Dönhoff	10. Okt. 1797
Gaetano Donizetti	25. Sept. 1798
Adolf Donndorf	16. Febr. 1835
Johann Jakob Christian Donner	10. Okt. 1799
Raphael Donner	25. Mai 1692
Wilhelm Dönniges	13. Jan. 1814
Karl Emil Döpler	8. März 1824
Christian Doppler	29. Nov. 1803
Dora d'Istria	22. Jan. 1828
Gustave Doré	6. Jan. 1833
Robert Dorer	13. Febr. 1830
Doria	30. Nov. 1468
Dorigny	1657
Theodor Döring	9. Jan. 1803
Heinrich Dorn	14. Nov. 1804
Johs. Albr. Bernhard Dorn	11. Mai 1805
Ferdinand Wilhelm Kaspar Dörnberg	14. April 1768
Isaak August Dorner	20. Juni 1809
Dorner	1741
Dorothea Kurfürstin von Brandenburg	28. Sept. 1636
Dorothea Sybilla Herzogin von Brieg	19. Okt. 1590
Friedrich Wilhelm Dörpfeld	8. März 1824
Dorset	1536
Fedor Michajlowitsch Dostojéwskij	11. Nov. 1821
Douw Dou	7. April 1613
Douay	1809
Charles Montagu Doughty	19. Aug. 1843
Hugo Sholto Douglas	19. April 1837
Ludwig Douglas	26. Nov. 1849
Paul Doumer	22. März 1857
Louis Douzette	25. Sept. 1834
Heinrich Wilhelm Dove	6. Okt. 1803
Francesco D'Ovidio	5. Dez. 1849
Eduard Dowden	3. Mai 1843
Doyen	1726
Reinhart Dozy	21. Febr. 1820
Holger Drachmann	9. Okt. 1846
Draconites	1494
Draga	23. Sept. 1867
Michail Petrowitsch Dragománow	18. Sept. 1841
Dragomírow	1830
Friedrich Drake	23. Juni 1805
John William Draper	5. Mai 1811
Anton Drasche	1. Juli 1826
Felix Draeseke	7. Okt. 1835
Anton Dreher	7. Juni 1810
Max Dreyer	25. Sept. 1862
Alfred Dreyfus	9. Okt. 1859
Alexander Dreyschock	15. Okt. 1818
Johann Nikolas von Dreyse	20. Nov. 1787
Moritz Wilhelm Drobisch	16. Aug. 1802
Georg Drossinis	21. Dez. 1859
Annette Droste-Hülshoff	10. Jan. 1797
Klemens August Droste zu Vischering	22. Jan. 1773
Drouet	1792
Edouard Drouyn de l'Huys	19. Nov. 1805
Johann Gustav Droysen	6. Juli 1808
Gustave Droz	9. Juni 1832
Numa Droz	27. Jan. 1844
Oskar Drude	5. Juni 1852
Wilhelm Drumann	11. Juni 1786
Henry Drummond	17. Aug. 1851
Edouard Drumont	3. Mai 1844
Ernst Dryander	18. April 1843
John Dryden	9. Aug. 1631
Albert von Drygalski	7. November 1836
Erich von Drygalski	9. Febr. 1865
Dschâmi	1414
Dschelâl ed-dîn Rûmi	1207
Dschingis Chan	1162
Marie Jeanne Dubarry	19. Aug. 1743
Edouard Duboc	17. Sept. 1822
Guillaume Dubois	6. Sept. 1656
Paul Dubois	18. Juli 1829
Théodore Dubois	24. Aug. 1837
Emil Du Bois-Reymond	7. Nov. 1818
Vital Dubray	27. Febr. 1818
Jakob Dubs	26. Juli 1822
Edouard Dubufe	30. März 1820
Maxime Ducamp	8. Febr. 1822
Ducange	24. Nov. 1783
Paul Belloni Du Chaillu	31. Juli 1835
Duchange	1662
Guillaume Benjamin Duchenne	17. Sept. 1806
Duchesne	8. Mai 1584
Jacques Charles René Achi Duchesne	3. März 1837
Eugen Dücker	10. Febr. 1841
Arnold Duckwitz	27. Jan. 1802
Charles Théodore Eugène Duclerc	9. Nov. 1813
Charles Pinot Duclos	12. Febr. 1704
Roger Ducos	23. Juli 1754
Auguste Alexandre Ducrot	24. Febr. 1817
Ducrotay de Blainville	12. Sept. 1778
Dudeffand	1697
Konrad Duden	3. Jan. 1829
Dudevant	1. Juli 1804
Beda Franz Dudik	29. Jan. 1815
Dudley	1502
Jules Armand Stanislaus Dufaure	4. Dez. 1798
Nikolaus Duffek	8. Okt. 1833
Dufferin und Awa	21. Juni 1826
Wilhelm Heinrich Dufour	15. Sept. 1787
Pierre Armand Dufrenoy	5. Sept. 1792
Charles Dufresne	18. Dez. 1610
René Duguay-Trouin	10. Juni 1673
Eugen Dühring	12. Jan. 1833
Felix Dujardin	5. April 1801
Albert Dulk	17. Juni 1819
Eduard Duller	8. Nov. 1809
Pierre Louis Dulong	12. Febr. 1785
Alexandre Dumas	24. Juli 1802
Jean Baptiste Dumas	15. Juli 1800
Matthieu Dumas	23. Dez. 1753
George Du Maurier	6. März 1834
André Marie Constant Duméril	1. Jan. 1774
Théophile Marion Dumersan	4. Jan. 1780
Johannes Dümichen	15. Okt. 1833
Ernst Dümmler	2. Jan. 1830
Albert Dumont	21. Jan. 1842
Augustin Alexandre Dumont	14. Aug. 1801
Jules Sébast Dumont d'Urville	23. Mai 1790
Richard Du Moulin Eckart	27. Nov. 1864
Charles François Dumouriez	25. Jan. 1739
Johann Heinrich Dumreicher von Österreicher	13. Jan 1815
Karl Duncker	25. März 1781
Egidio Romoaldo Duni	9. Febr. 1709
Martin von Dunin	11. Nov. 1774
Wilhelm Friedrich Dünkelberg	4. Mai 1819
Dunois und Longueville	23. Nov. 1402
Duns Scotus	1265
Heinrich Düntzer	12. Juli 1813
Félix Antoine Philippe, Dupanloup	3. Jan. 1802
Dupin	1. Febr. 1783
Georges Duplessis	19. März 1834
Emile Duployé	10. Sept. 1833
Pierre Samuel Dupont	23. April 1821
Jacques Charl Dupont de l'Eure	27. Febr. 1767
Giovanni Dupré	1. März 1817
Dupré	1812
Charles Dupuy	5. Nov. 1851
Duquesne	1610
Duquesnoy	1594
Agustin Duran	14. Okt. 1789
Charles Duran	4. Juli 1837
Durand	12. Okt. 1842
Francesco Durante	15. März 1684
Durantis	1237
Ferdinand Dürckheim-Montmartin	8. Juli 1811
Francisque Duret	19. Okt. 1804
Ida von Düringsfeld	12. Nov. 1815
Joseph Durm	14. Febr. 1837
Durnowó	1830
Gérard Christophe Michel Duroc	25. Okt. 1772
Victor Duruy	11. Sept. 1811
Cornelis Dusart	24. April 1660
Eleonora Duse	3. Okt. 1859
Johann Ludwig Dussek	9. Febr. 1761
Friedrich Düsterdieck	14. Juli 1822
Jules Dutreuil de Rhins	2. Jan. 1846
Duval	28. Jan. 1760
Duvergier de Hauranne	3. Aug. 1798
Henri Duveyrier	28. Febr. 1840
Adolf Dux	25. Okt. 1822
Prudens van Duyse	17. Sept. 1804
Anton Dvorák	8. Sept. 1841
Alexander Dyce	30. Juni 1798
Hermann Dyck	4. Okt. 1812
Joseph Laurent Dyckmans	9. Aug. 1811
Dygasinski	1839
George Dyherrn	1. Jan. 1848
Dyveke	1490
Wojciech Dzieduszycki	13. Juli 1848
Johann Dzierzon	16. Jan. 1811
Gustav Ebe	1. Nov. 1834
Ebel	1784
Alfred Ebenhoch	18. Mai 1855
Paul Eber	8. Nov. 1511
Eberhard	1265
August Gottlob Eberhard	12. Jan. 1769
Robert Eberle	22. Juli 1815
Gustav Eberlein	14. Juli 1847
Ernst Wilhelm Ferdinand Ebermayer	2. Nov. 1829
Georg Ebers	1. März 1837
Ottokar Franz Ebersberg	10. Okt. 1833
Adolf Ebert	1. Juni 1820
Friedrich Adolf Ebert	9. Juli 1791
Johann Arnold Ebert	8. Febr. 1723
Karl Egon Ebert	5. Juni 1801
Karl Joseph Eberth	21. Sept. 1835
Marie Ebner-Eschenbach	13. Sept. 1830
Anna de Mendoza Eboli	29. Juni 1540
August Ebrard	18. Jan. 1818
Wilhelm Ebstein	27. Nov. 1836
José Maria Eça de Queiroz	25. Nov. 1845
Eccard	1553
Echegaray	1835
